Persquare_price,Area,Facing_East,Facing_North,Facing_South,Facing_West,Decoration_Level,Floor_Level
62280.0,53.79,0,0,1,0,3,3
60662.0,54.4,0,0,1,0,3,1
50443.0,56.5,0,0,1,0,3,5
55929.0,50.6,0,0,1,0,3,3
53858.0,66.1,0,0,1,0,3,1
51600.0,50.0,0,0,1,0,3,3
53098.0,56.5,0,0,1,0,3,3
43732.0,68.6,1,0,0,0,3,3
51189.0,54.7,0,0,1,0,3,5
55859.0,73.4,0,0,1,0,3,1
50396.0,50.6,0,0,1,0,3,3
99166.0,128.17,1,0,0,0,2,3
82679.0,86.6,0,0,0,1,1,3
88453.0,86.6,1,0,0,0,3,2
91941.0,86.36,1,0,0,0,3,4
88978.0,85.64,1,0,0,0,2,4
82536.0,71.0,1,0,0,0,1,2
95006.0,110.52,1,0,0,0,2,5
95459.0,110.1,0,0,0,1,2,2
84595.0,72.7,0,0,0,1,1,3
89261.0,86.6,1,0,0,0,1,4
89741.0,86.36,0,0,0,1,2,2
99138.0,127.6,0,0,1,0,2,2
95276.0,63.5,0,0,1,0,2,4
89063.0,96.0,1,0,0,0,3,3
91066.0,127.6,1,0,0,0,2,5
79162.0,85.9,0,0,0,1,2,3
86729.0,85.9,0,0,0,1,3,2
82472.0,79.3,1,0,0,0,3,3
78753.0,86.6,1,0,0,0,1,3
83197.0,85.1,1,0,0,0,1,3
80237.0,59.2,0,0,1,0,3,3
83334.0,96.0,1,0,0,0,2,5
78185.0,79.3,0,0,0,1,3,3
75663.0,79.3,0,0,0,1,1,3
73530.0,95.2,1,0,0,0,3,3
69925.0,69.79,1,0,0,0,1,2
72396.0,96.0,0,0,0,1,2,2
73438.0,96.0,1,0,0,0,2,2
69833.0,107.4,1,0,0,0,1,3
63862.0,60.6,0,0,1,0,1,3
60086.0,69.9,0,0,1,0,1,3
66294.0,96.54,1,0,0,0,2,3
64015.0,96.54,1,0,0,0,1,2
55568.0,95.2,1,0,0,0,1,2
58208.0,85.9,0,0,1,0,1,4
56369.0,73.09,0,0,0,1,2,1
55883.0,74.8,1,0,0,0,2,3
51962.0,85.64,1,0,0,0,1,2
47922.0,86.6,1,0,0,0,1,1
47920.0,79.3,1,0,0,0,1,4
59524.0,75.6,0,0,1,0,1,3
53036.0,96.54,0,0,0,1,1,2
50656.0,56.46,0,0,1,0,2,1
44413.0,69.8,0,0,0,1,1,1
52621.0,96.54,1,0,0,0,1,2
45380.0,60.6,1,0,0,0,1,2
45670.0,63.5,0,0,1,0,1,3
46407.0,79.3,1,0,0,0,2,4
50871.0,74.7,0,0,0,1,2,4
48884.0,85.1,1,0,0,0,2,4
49093.0,127.31,0,0,0,1,1,3
42905.0,60.6,1,0,0,0,2,5
47822.0,56.46,0,0,1,0,1,1
45071.0,71.0,1,0,0,0,3,4
56771.0,96.0,1,0,0,0,3,2
56875.0,96.0,1,0,0,0,3,4
50561.0,85.64,1,0,0,0,3,5
38866.0,95.2,1,0,0,0,3,2
50394.0,63.5,0,0,1,0,3,3
47343.0,103.5,1,0,0,0,3,2
51062.0,75.4,0,0,1,0,3,1
50409.0,110.1,0,0,1,0,3,4
47291.0,85.64,0,0,0,1,3,4
46032.0,75.6,0,0,1,0,3,3
45508.0,86.36,0,0,1,0,3,3
38688.0,69.79,1,0,0,0,3,3
39614.0,103.5,1,0,0,0,3,2
34060.0,110.1,0,0,1,0,3,1
36097.0,74.8,0,0,0,1,3,3
40989.0,110.52,0,0,1,0,3,2
37008.0,63.5,0,0,1,0,3,2
32189.0,69.9,0,1,0,0,3,2
34451.0,107.4,1,0,0,0,3,5
35811.0,59.2,0,0,1,0,3,3
34012.0,127.31,0,0,1,0,3,5
26038.0,69.9,0,0,1,0,3,3
31504.0,59.2,0,0,1,0,3,3
32917.0,96.0,0,0,1,0,3,4
30268.0,85.9,0,0,1,0,3,3
72840.0,81.0,1,0,0,0,1,5
66709.0,79.9,0,0,1,0,2,5
44860.0,53.5,0,0,1,0,3,1
99071.0,77.42,0,0,1,0,2,4
95605.0,91.0,0,0,1,0,1,2
86755.0,94.52,0,0,1,0,1,3
93962.0,94.72,0,0,1,0,2,3
90839.0,155.22,0,0,1,0,2,4
96229.0,77.42,0,0,1,0,2,2
94413.0,77.32,0,0,1,0,3,3
